date,temperature,humidity,luminosity
2023-12-21 15:10:11.627,19.6,30.3,1414
2023-12-21 14:47:20.969,19.6,32.4,1353
2023-12-21 15:10:52.315,19.6,29.8,1407
2023-12-21 14:33:41.877,19.4,32.4,1361
2023-12-21 15:11:33.004,19.6,30.3,1418
2023-12-21 14:47:53.656,19.6,32.7,1316
2023-12-21 15:12:13.693,19.6,30.8,1430
2023-12-21 14:41:21.401,19.6,31.8,1359
2023-12-21 14:48:18.172,19.6,32.7,1314
2023-12-21 14:41:29.574,19.6,31.9,1356
2023-12-21 14:48:34.515,19.6,32.8,1314
2023-12-21 14:35:01.520,19.4,32.4,1357
2023-12-21 14:48:50.860,19.6,32.8,1239
2023-12-21 14:41:45.918,19.6,32.0,1356
2023-12-21 14:49:07.205,19.6,32.9,1264
2023-12-21 14:36:55.928,19.4,32.3,1355
2023-12-21 14:49:23.549,19.6,32.5,1267
2023-12-21 14:42:02.264,19.6,32.1,1355
2023-12-21 14:49:39.893,19.5,32.3,1269
2023-12-21 14:33:50.048,19.4,32.3,1360
2023-12-21 14:49:56.237,19.6,32.3,1270
2023-12-21 14:42:18.608,19.5,32.3,1357
2023-12-21 14:50:12.580,19.5,32.1,1277
2023-12-21 14:37:12.271,19.5,32.2,1358
2023-12-21 14:50:28.924,19.5,32.2,1278
2023-12-21 14:42:34.951,19.6,32.4,1362
2023-12-21 14:50:45.268,19.5,32.4,1276
2023-12-21 14:35:17.865,19.5,32.3,1356
2023-12-21 14:51:01.611,19.5,32.6,1270
2023-12-21 14:42:51.295,19.6,32.6,1359
2023-12-21 14:51:17.956,19.5,32.5,1271
2023-12-21 14:37:28.615,19.5,32.3,1355
2023-12-21 14:51:34.299,19.5,32.5,1269
2023-12-21 14:43:07.638,19.5,32.6,1354
2023-12-21 14:52:06.988,19.5,32.2,1264
2023-12-21 14:51:50.643,19.5,32.3,1267
2023-12-21 14:43:23.982,19.5,32.4,1354
2023-12-21 14:52:23.331,19.5,32.3,1267
2023-12-21 14:37:44.959,19.5,32.4,1353
2023-12-21 14:52:39.676,19.5,32.5,1275
2023-12-21 14:43:40.326,19.6,32.2,1355
2023-12-21 14:52:56.019,19.5,32.6,1277
2023-12-21 14:35:34.208,19.5,32.1,1361
2023-12-21 14:53:12.362,19.5,32.6,1274
2023-12-21 14:43:56.670,19.6,32.2,1351
2023-12-21 14:53:28.706,19.5,32.5,1275
2023-12-21 14:38:01.303,19.5,32.4,1354
2023-12-21 14:53:45.050,19.6,32.6,1271
2023-12-21 14:44:13.014,19.6,32.4,1353
2023-12-21 14:54:01.394,19.5,32.6,1269
2023-12-21 14:34:06.392,19.4,32.5,1359
2023-12-21 14:54:17.738,19.6,32.8,1273
2023-12-21 14:44:29.358,19.6,32.2,1357
2023-12-21 14:54:34.082,19.5,32.8,1272
2023-12-21 14:38:17.647,19.5,32.2,1352
2023-12-21 14:54:50.426,19.5,32.4,1275
2023-12-21 14:44:45.701,19.6,32.2,1355
2023-12-21 14:55:06.770,19.5,32.2,1272
2023-12-21 14:35:50.552,19.5,32.3,1356
