date,temperature,humidity,luminosity
2022-11-16 20:55:20.227,25.9,48.7,86
2022-11-16 20:55:15.181,25.9,48.8,86
2022-11-16 20:55:10.135,25.9,48.6,84
2022-11-16 20:55:05.090,25.9,48.6,87
2022-11-16 20:55:00.047,25.9,48.7,85
2022-11-16 20:54:55.003,25.9,48.7,85
2022-11-16 20:54:49.959,25.8,48.7,85
2022-11-16 20:54:44.912,25.9,48.6,85
2022-11-16 20:54:39.867,25.9,48.7,85
2022-11-16 20:54:34.824,25.9,48.7,86
2022-11-16 20:54:29.781,25.9,48.7,85
2022-11-16 20:54:24.735,25.9,48.8,86
2022-11-16 20:54:19.688,25.9,48.6,85
2022-11-16 20:54:14.644,25.9,48.6,85
2022-11-16 20:54:09.601,25.9,48.6,85
2022-11-16 20:54:04.555,25.9,48.6,85
2022-11-16 20:53:59.510,25.9,48.7,85
2022-11-16 20:53:54.466,25.9,48.7,86
2022-11-16 20:53:49.424,25.8,48.7,85
2022-11-16 20:53:44.380,25.9,48.6,84
2022-11-16 20:53:39.335,25.9,48.6,86
2022-11-16 20:53:34.291,25.9,48.6,85
2022-11-16 20:53:29.245,25.9,48.7,86
2022-11-16 20:53:24.200,25.9,48.7,85
2022-11-16 20:53:19.154,25.9,48.6,81
2022-11-16 20:53:14.109,25.9,48.7,79
2022-11-16 20:53:09.066,25.9,48.7,62
2022-11-16 20:53:04.021,25.8,48.7,61
2022-11-16 20:52:58.979,25.9,48.7,62
2022-11-16 20:52:53.935,25.9,48.7,80
2022-11-16 20:52:48.891,25.9,48.7,79
2022-11-16 20:52:43.847,25.9,48.7,80
2022-11-16 20:52:38.802,25.9,48.8,87
2022-11-16 20:52:33.758,25.9,48.8,86
2022-11-16 20:52:28.712,25.9,48.8,86
2022-11-16 20:52:23.669,25.9,48.8,87
2022-11-16 20:52:18.626,25.9,48.9,86
2022-11-16 20:52:13.582,25.9,48.7,87
2022-11-16 20:52:08.535,25.9,48.7,87
2022-11-16 20:52:03.492,25.9,48.7,87
2022-11-16 20:51:58.450,25.9,48.7,87
